frame,active_tracks
2099,11
2100,11
2101,11
2102,11
2103,11
2104,13
2105,12
2106,11
2107,11
2108,10
2109,11
2110,11
2111,11
2112,11
2113,11
2114,11
2115,11
2116,11
2117,12
2118,13
2119,12
2120,12
2121,11
2122,12
2123,12
2124,11
2125,11
2126,11
2127,11
2128,10
2129,9
2130,1
2131,17
2132,17
2133,16
2134,17
2135,15
2136,17
2137,16
2138,16
2139,16
2140,16
2141,16
2142,15
2143,15
2144,16
2145,16
2146,16
2147,15
2148,15
2149,17
2150,16
2151,16
2152,17
2153,15
2154,15
2155,15
2156,14
2157,15
2158,16
2159,15
2160,15
2161,15
2162,15
2163,15
2164,14
2165,15
2166,15
2167,13
2168,14
2169,12
2170,14
2171,12
2172,13
2173,13
2174,13
2175,14
2176,15
2177,14
2178,14
2179,14
2180,14
2181,14
2182,14
2183,15
2184,15
2185,14
2186,15
2187,15
2188,15
2189,15
2190,15
2191,16
2192,16
2193,16
2194,16
2195,16
2196,16
2197,16
2198,16
2199,15
2200,15
2201,15
2202,16
2203,17
2204,16
2205,14
2206,16
2207,16
2208,14
2209,15
2210,16
2211,15
2212,15
2213,15
2214,14
2215,15
2216,14
2217,14
2218,13
2219,13
2220,14
2221,14
2222,14
2223,15
2224,14
2225,13
2226,0
2227,14
2228,15
2229,15
2230,15
2231,14
2232,15
2233,14
2234,14
2235,14
2236,17
2237,16
2238,15
2239,14
2240,14
2241,14
2242,14
2243,15
2244,16
2245,18
2246,21
2247,21
2248,21
2249,21
2250,21
2251,21
2252,21
2253,21
2254,21
2255,21
2256,21
2257,21
2258,21
2259,21
2260,21
2261,22
2262,21
2263,21
2264,20
2265,20
2266,19
2267,19
2268,19
2269,19
2270,17
2271,19
2272,19
2273,19
2274,19
2275,19
2276,18
2277,18
2278,19
2279,19
2280,20
2281,19
2282,20
2283,21
2284,21
2285,21
2286,21
2287,19
2288,19
2289,19
2290,19
2291,20
2292,19
2293,21
2294,21
2295,23
2296,22
2297,22
2298,20
2299,22
2300,23
2301,22
2302,23
2303,22
2304,22
2305,20
2306,19
2307,20
2308,21
2309,21
2310,20
2311,20
2312,19
2313,20
2314,20
2315,20
2316,20
2317,20
2318,19
2319,19
2320,19
2321,18
2322,19
2323,21
2324,20
2325,20
2326,21
2327,19
2328,21
2329,21
2330,19
2331,18
2332,18
2333,20
2334,20
2335,20
2336,21
2337,21
2338,21
2339,20
2340,19
2341,19
2342,20
2343,22
2344,24
2345,24
2346,24
2347,23
2348,23
2349,24
2350,22
2351,22
2352,21
2353,21
2354,22
2355,21
2356,21
2357,20
2358,21
2359,20
2360,21
2361,21
2362,21
2363,0
2364,9
2365,9
2366,9
2367,9
2368,10
2369,10
2370,10
2371,10
2372,10
2373,10
2374,10
2375,12
2376,12
2377,11
2378,11
2379,11
2380,12
2381,11
2382,12
2383,11
2384,11
2385,12
2386,12
2387,12
